AWS_ID,District,Mandal,Location,Circle,Latitude,Longitude,EventID,Start,End,Duration_hrs,Total_Rain,Max_Hourly,Average_Intensity
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,58,2025-07-24 12:00:00,2025-07-24 13:00:00,2,0.5,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,59,2025-07-24 16:00:00,2025-07-24 22:00:00,7,4.0,1.0,0.5714285714285714
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,60,2025-07-25 01:00:00,2025-07-25 01:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,61,2025-07-25 17:00:00,2025-07-25 19:00:00,3,1.25,0.5,0.4166666666666667
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,62,2025-07-25 21:00:00,2025-07-26 01:00:00,5,2.0,0.5,0.4
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,63,2025-07-26 05:00:00,2025-07-26 06:00:00,2,0.5,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,64,2025-07-26 11:00:00,2025-07-26 15:00:00,5,3.25,0.75,0.65
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,65,2025-07-27 03:00:00,2025-07-27 03:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,66,2025-07-30 18:00:00,2025-07-30 20:00:00,3,5.0,4.0,1.6666666666666667
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,67,2025-08-04 12:00:00,2025-08-04 13:00:00,2,0.75,0.5,0.375
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,68,2025-08-04 16:00:00,2025-08-04 17:00:00,2,2.25,1.5,1.125
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,69,2025-08-04 19:00:00,2025-08-04 19:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,70,2025-08-04 23:00:00,2025-08-04 23:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,71,2025-08-06 10:00:00,2025-08-06 10:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,72,2025-08-07 20:00:00,2025-08-08 03:00:00,8,11.75,6.5,1.46875
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,73,2025-08-09 09:00:00,2025-08-09 09:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,74,2025-08-09 22:00:00,2025-08-09 22:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,75,2025-08-10 03:00:00,2025-08-10 03:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,76,2025-08-10 05:00:00,2025-08-10 05:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,77,2025-08-10 07:00:00,2025-08-10 07:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,78,2025-08-10 23:00:00,2025-08-11 01:00:00,3,1.25,0.5,0.4166666666666667
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,79,2025-08-11 03:00:00,2025-08-11 03:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,80,2025-08-11 10:00:00,2025-08-11 10:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,81,2025-08-11 21:00:00,2025-08-11 21:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,82,2025-08-11 23:00:00,2025-08-11 23:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,83,2025-08-12 05:00:00,2025-08-12 05:00:00,1,0.5,0.5,0.5
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,84,2025-08-13 14:00:00,2025-08-13 14:00:00,1,10.0,10.0,10.0
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,85,2025-08-13 18:00:00,2025-08-13 19:00:00,2,10.25,10.0,5.125
