AWS_ID,District,Mandal,Location,Circle,Latitude,Longitude,Total_Rainy_Days,Mean_Daily_Rain,Max_Daily_Rain,Mean_Intensity,Longest_Wet_Spell_days
30143,Hyderabad,Amberpet,Azampura Ward Office,Circle-6 (Malakpet),17.3719,78.49105,97,11.961340206185566,92.25,2.8835641019919374,17
30144,Hyderabad,Charminar,Edi bazar Community hall,Circle-8 (Chandrayangutta),17.35278146,78.4931513,93,12.96236559139785,71.5,3.244770865335382,15
30145,Hyderabad,Bahadurpura,Rooplal Bazar Community Hall,Circle-9 (Charminar),17.35075,78.47138,126,9.811507936507937,79.0,2.3361433127058127,15
30146,Hyderabad,Bahadurpura,"Wadi E Mahmood Sulemannagar, Pillar No.217",Circle-11 (Rajendranagar),17.3458816,78.4177414,93,11.658602150537634,79.5,2.7562620250120253,15
30147,Hyderabad,Bandlaguda,Mekalamandi Community Hall,Circle-7 (Santosh Nagar),17.34667394,78.48094609,99,11.555555555555555,69.5,2.793709040678738,15
30148,Medchal-Malkajgiri,Uppal,Moosarambagh Ward office,Circle-6 (Malakpet),17.37756557,78.51864926,92,12.08695652173913,100.5,2.691701934840522,15
30149,Hyderabad,Bandlaguda,"GHMC Zonal Office, Charminar Zone, Phool Bagh",Circle-8 (Chandrayangutta),17.3323,78.48617,85,12.170588235294117,99.5,2.9449529800265095,8
30151,Hyderabad,Bandlaguda,HMWSSB office RIYASATNAGAR,Circle-8 (Chandrayangutta),17.34567,78.5053,85,14.1,85.0,2.6563523894406247,17
30154,Hyderabad,Asifnagar,"Ward Office, Karwan, Beside UPHC",Circle-13 (Karwan),17.3761093,78.44199459,82,9.481707317073171,51.5,2.506970756208561,11
30155,Hyderabad,Asifnagar,"Bada Bazar Comm Hall, First Lancer, Ahmed Nagar",Circle-12 (Mehdipatnam),17.40278216,78.44006175,106,10.452830188679245,104.0,2.600019378820711,17
30157,Medchal-Malkajgiri,Kukatpally,Rajiv Gruhakalpa,Circle-25 (Gajularamaram),17.5065258,78.4215266,98,13.24234693877551,102.0,3.0736892430132228,14
30158,Medchal-Malkajgiri,Kukatpally,Shamshiguda,Circle-24 (Kukatpally),17.5060727,78.4042396,98,10.596938775510203,81.5,2.3236864496881005,17
30160,Medchal-Malkajgiri,Kukatpally,Kukatpally Village (Basthi Dawakhana),Circle-24 (Kukatpally),17.49701684,78.42706275,89,12.46629213483146,100.75,2.828772637364838,14
